SEXO,ESTADO,SEM_CURSADOS,CREDITOS,APROBO,PONDERADO,BECA_VIGENTE,ESTADO_CIVIL_D,ESTADO_CIVIL_S,FFH,COLEGIO_PRIVADO,CRED_X_SEM,HRS_FALTA_RATIO,EDAD,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,Tasa_Analfabetismo,Tasa_Desempleo2019
0,-1,5,86,13,6.8325,0,0,1,False,True,17.0,0.18,27.0,0.7622,0.7,0.0,3.1,3.4
0,-1,5,78,16,3.805,0,0,1,False,False,16.0,0.23,29.0,0.7622,0.7,0.0,3.1,3.4
0,1,15,265,73,13.3929,0,0,1,False,True,18.0,0.06,27.0,0.6337,7.5,0.4,5.2,3.4
0,1,17,263,65,13.0833,0,0,1,False,True,15.0,0.19,27.0,0.7622,0.7,0.0,3.1,3.4
1,1,19,261,61,12.38,0,0,1,True,True,14.0,0.15,27.0,0.7454,1.4,0.2,3.1,3.4
1,1,3,39,9,11.7357,0,0,1,False,False,13.0,0.23,31.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,17,1,8.5206,0,0,1,False,True,17.0,0.26,21.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,8,0,0.87,0,0,1,True,False,8.0,0.54,27.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,4,10.4395,0,0,1,False,False,22.0,0.28,26.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,16,0,4.7625,0,0,1,False,True,16.0,0.38,20.0,0.768,1.0,0.0,4.3,3.4
1,-1,2,44,5,10.5364,0,0,1,True,True,22.0,0.19,18.0,0.7622,0.7,0.0,3.1,3.4
0,1,24,309,65,12.99,0,0,1,True,True,13.0,0.16,29.0,0.6855,6.6,1.0,3.1,3.4
1,-1,6,71,15,10.66,0,0,1,True,True,12.0,0.24,23.0,0.7454,1.4,0.2,3.1,3.4
0,1,13,235,72,11.9,0,0,1,False,True,18.0,0.15,22.0,0.7653,0.3,0.1,3.1,3.4
0,1,15,247,72,12.2,0,0,1,False,True,16.0,0.15,23.0,0.7622,0.7,0.0,3.1,3.4
1,-1,4,66,9,9.4021,0,0,1,True,True,16.0,0.19,20.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,4,9.799,0,0,1,True,True,22.0,0.03,16.0,0.6739,6.4,0.5,3.1,3.4
1,1,14,203,60,14.14,0,0,0,False,True,14.0,0.15,24.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,22,0,0.0257,0,0,1,False,False,22.0,0.73,19.0,0.7622,0.7,0.0,3.1,3.4
1,1,14,239,72,15.61,0,0,1,False,True,17.0,0.1,22.0,0.6855,6.6,1.0,3.1,3.4
1,1,13,225,67,13.96,0,0,1,False,True,17.0,0.06,23.0,0.7622,0.7,0.0,3.1,3.4
0,1,12,221,71,12.91,0,0,1,False,True,18.0,0.06,22.0,0.8326,0.1,0.0,4.4,3.4
0,1,12,223,72,15.61,0,0,1,False,True,19.0,0.07,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,13,234,73,14.1467,0,0,1,True,False,18.0,0.04,24.0,0.6739,6.4,0.5,3.1,3.4
0,1,15,248,71,16.0633,0,0,1,True,True,17.0,0.17,24.0,0.6498,6.2,0.7,3.1,3.4
0,1,16,261,71,13.3467,0,0,1,False,True,16.0,0.17,24.0,0.6739,6.4,0.5,3.1,3.4
0,1,12,221,71,16.225,0,0,1,True,True,18.0,0.06,21.0,0.7622,0.7,0.0,3.1,3.4
0,1,25,242,46,6.56,0,0,1,False,True,10.0,0.18,35.0,0.7647,8.0,0.3,4.4,3.4
1,1,23,311,72,14.66,0,0,1,False,True,14.0,0.07,25.0,0.6591,8.2,0.2,9.9,3.4
1,-1,2,42,3,5.2725,0,0,1,False,True,21.0,0.13,18.0,0.7622,0.7,0.0,3.1,3.4
0,1,12,229,71,11.875,0,0,1,True,True,19.0,0.1,24.0,0.6739,6.4,0.5,3.1,3.4
0,1,20,327,73,13.9725,0,0,1,True,True,16.0,0.11,25.0,0.7622,0.7,0.0,3.1,3.4
